Recording	Participant	AOI	Total_duration_of_fixations	Average_duration_of_fixations	Minimum_duration_of_fixations	Maximum_duration_of_fixations	Number_of_fixations	Average_pupil_diameter	Total_duration_of_Visit	Average_duration_of_Visit	Minimum_duration_of_Visit	Maximum_duration_of_Visit	Number_of_Visits	Total_duration_of_Glances	Average_duration_of_Glances	Minimum_duration_of_Glances	Maximum_duration_of_Glances	Number_of_Glances	Number_of_saccades_in_AOI	Time_to_entry_saccade	Time_to_exit_saccade	Peak_velocity_of_entry_saccade	Peak_velocity_of_exit_saccade
Recording21	Participant6	Rectangle 17	716	716	716	716	1	3.2173	716	716	716	716	1	766	766	766	766	1	0	240150		158.54	
Recording21	Participant6	Rectangle 18	1316	329	183	650	4	3.21682	1332	444	183	650	3	1466	489	217	716	3	1	231939	232155	76.32	112.57
Recording21	Participant6	Rectangle 19	2432	347	83	550	7	3.23279	2465	493	283	816	5	2681	536	316	849	5	2	232155	232672	112.57	127.87
Recording21	Participant6	Rectangle 20	483	241	233	250	2	3.21989	483	241	233	250	2	566	283	266	300	2	0	237285	237551	107.13	70.08
Recording21	Participant6	Rectangle 21	300	150	133	167	2	3.22938	316	316	316	316	1	350	350	350	350	1	1	237551	237901	70.08	129.12
Recording21	Participant6	Rectangle 22	2148	215	100	400	10	3.23318	2298	1149	1116	1182	2	2415	1207	1182	1232	2	8	208072	209305	136.02	46.47
Recording21	Participant6	Rectangle 23	4613	243	83	1232	19	3.23786	5313	1063	150	2915	5	5479	1096	167	2931	5	12	209305	210687	46.47	254.82
Recording21	Participant6	Rectangle 24	9127	277	67	650	33	3.18752	10809	1544	67	4264	7	11142	1592	117	4314	7	21	213685	213802	220.19	44.11
Recording21	Participant6	Rectangle 25	35233	284	67	1682	124	3.52075	43078	3314	300	10959	13	43727	3364	350	11009	13	83	248893	247511	303.7	96.92
Recording21	Participant6	Rectangle 26	17554	373	83	1116	47	3.43139	18803	1709	183	4930	11	19186	1744	217	4996	11	34	255855	256072	137.02	186.36
Recording21	Participant6	Rectangle 27	4913	409	133	849	12	3.41014	5046	841	133	1599	6	5213	869	150	1616	6	6	273010	274159	357.77	31.56
Recording21	Participant6	Rectangle 28	5763	320	83	1116	18	3.42138	6262	1044	183	3314	6	6479	1080	217	3331	6	11	255855	256072	137.02	186.36
Recording21	Participant6	Rectangle 29	3731	466	167	983	8	3.47466	3797	759	233	1715	5	3981	796	250	1732	5	3	286117	286383	48.53	45.57
Recording21	Participant6	Rectangle 30	2748	393	133	583	7	3.40806	2815	938	583	1182	3	2948	983	616	1216	3	4	301456	305253	69.54	425.34
Recording21	Participant6	Rectangle 31	400	200	133	266	2	3.5934	433	433	433	433	1	450	450	450	450	1	1	314330	314780	33.21	334.7
Recording21	Participant6	Rectangle 32	19729	227	67	700	87	3.26539	24075	1605	117	7894	15	24892	1659	150	7961	15	55	322741	322374	230.23	355.74
Recording21	Participant6	Rectangle 33	29862	233	67	1299	128	3.07928	34609	2163	133	5912	16	35491	2218	200	5979	16	102	322374	322741	355.74	230.23
Recording21	Participant6	Rectangle 34	3947	197	83	400	20	3.06391	4763	794	183	1865	6	5013	836	233	1899	6	11	322491	322741	38.58	230.23
Recording21	Participant6	Rectangle 35	7311	244	67	566	30	3.14294	7994	799	67	1765	10	8344	834	117	1782	10	19	322374	322491	355.74	38.58
Recording21	Participant6	Rectangle 36	5479	196	67	483	28	3.11265	6062	433	67	1282	14	6612	472	100	1299	14	13	322374	322491	355.74	38.58
Recording21	Participant6	Rectangle 37	10326	240	67	1066	43	3.02982	11875	848	100	5646	14	12458	890	133	5729	14	25	340462	340978	203.75	297.29
Recording21	Participant6	Rectangle 38	3414	310	83	1299	11	3.04349	3531	504	117	1299	7	3764	538	150	1332	7	4	365111	368725	143.36	43.6
